时间,名称,品质信息,部位,物品等级,基础属性,绿字属性,灌注属性,基本信息,描述,获取途径
2026/1/24 19:44,曙魄天芒·魂谒,灵品,颈部,出尘 455/475,核心属性 220 | 体 385 | 法术防御 480,每带有一种不同的临时消耗品效果，造成的伤害和治疗增加【0.12%-0.24%】。（效果唯一，在排位竞赛和综合竞赛玩法中不生效）,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,灵扉叩彻初偶响，万象破晓自心生。,
2026/1/24 19:45,曙魄天芒·妄渊,灵品,天灵,出尘 455/475,核心属性 880 | 体 385 | 法术防御 480,,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,对 70%血以上目标造成的伤害和治疗增加【1.2%-2.4%】（效果唯一，在排位竞赛和综合竞赛玩法中不生效） | 灵扉叩彻初偈响，万象破晓自心生。,
2026/1/24 19:48,曙魄天芒·魂渴,灵品,颈部,出尘 455/475,核心属性 220 | 体 385 | 法术防御 480,每带有一种不同的临时消耗品效果，造成的伤害和治疗增加【0.12%-0.24%】。（效果唯一，在排位竞赛和综合竞赛玩法中不生效）,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,灵扉叩彻初偶响，万象破晓自心生。,
2026/1/24 19:48,曙魄天芒·法寂,灵品,颈部,出尘 455/475,核心属性 220 | 体 385 | 法术防御 480,灵药效果增加【40%-80%】。（效果唯一，在排位竞赛和综合竞赛玩法中不生效）,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,灵扉叩彻初偶响，万象破晓自心生。,
2026/1/24 19:48,杀伐皆虚印,灵品,法印,悟道 480/495,核心属性 287 | 体 547 | 法术防御 480,专精 564 | 调息 243,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,狂润照影，杀伐皆虚。勘破战意本身，方知刚柔皆为道。,随身商店 | 副本宝箱 | 璇玑宝库
2026/1/24 19:48,杀伐皆虚令,灵品,令牌,悟道 480/495,核心属性 287 | 体 547 | 法术防御 480,破甲 564 | 调息 243,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,狂润照影，杀伐皆虚。勘破战意本身，方知刚柔皆为道。,随身商店 | 副本宝箱 | 璇玑宝库
2026/1/24 19:48,杀伐皆虚履,灵品,,悟道 480/495,核心属性 2871 | 体 874 | 物理防御 384,会心 100 | 调息 44,无,等级需求：70级 | 门派需求：门派 | 外观：【不可拓印】,狂润照影，杀伐皆虚。勘破战意本身，方知刚柔皆为道。,随身商店 | 副本宝箱 | 璇玑宝库
2026/1/24 19:49,杀伐皆虚腿,灵品,腿部,悟道 480/495,核心属性 3445 | 体 1093 | 物理防御 1152,破甲 121 | 会心 52,3孔,等级需求：70级 | 门派需求：门派 | 外观：【不可拓印】,狂润照影，杀伐皆虚。勘破战意本身，方知刚柔皆为道。,随身商店 | 副本宝箱 | 璇玑宝库
2026/1/24 19:49,杀伐皆虚冠,灵品,头部,悟道 480/495,核心属性 2871 | 体 874 | 物理防御 384,会心 100 | 调息 44,3孔,等级需求：70级 | 门派需求：门派 | 外观：凌霜·梵海静云饰【可拓印】,狂润照影，杀伐皆虚。勘破战意本身，方知刚柔皆为道。,随身商店 | 副本宝箱 | 璇玑宝库
2026/1/24 19:49,杀伐皆虚袍,灵品,上身,悟道 480/495,核心属性 3445 | 体 1093 | 物理防御 1152,破甲 312 | 会心 152,3孔,等级需求：70级 | 门派需求：门派 | 外观：凌霜·梵海静云衫【可拓印】,灌注属性：狂润照影，杀伐皆虚。勘破战意本身，方知刚柔皆为道。,随身商店 | 副本宝箱 | 璇玑宝库
2026/1/24 19:49,杀伐皆虚腕,灵品,手部,悟道 480/495,核心属性 2297 | 体 656 | 物理防御 384,会心 80 | 调息 35,3孔,等级需求：70级 | 门派需求：门派 | 外观：【不可拓印】,狂润照影，杀伐皆虚。勘破战意本身，方知刚柔皆为道。,随身商店 | 副本宝箱 | 璇玑宝库
2026/1/24 19:50,杀伐皆虚带,灵品,腰部,悟道 480/495,核心属性 2297 | 体 656 | 物理防御 384,专精 80 | 会心 35,3孔,等级需求：70级 | 门派需求：门派 | 外观：【不可拓印】,狂润照影，杀伐皆虚。勘破战意本身，方知刚柔皆为道。,随身商店 | 副本宝箱 | 璇玑宝库
2026/1/24 19:50,曙魄天芒·界溯,灵品,颈部,出尘 455/475,核心属性 220 | 体 385 | 法术防御 480,,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,带有的灵珠效果等级越高，造成伤害和治疗越高（最高【0.4%-1.2%】）。（效果唯一，在排位竞赛和综合竞赛玩法中不生效） | 灵扉叩彻初偈响，万象破晓自心生。,
2026/1/24 19:50,杀伐皆虚·天灵,灵品,天灵,悟道 480/495,核心属性 1148 | 体 5471 | 法术防御 480,会心 242 | 专精 104,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,狂润照影，杀伐皆虚。勘破战意本身，方知刚柔皆为道。,随身商店 | 副本宝箱 | 璇玑宝库
2026/1/24 19:50,杀伐皆虚·地宝,灵品,地宝,悟道 480/495,核心属性 1148 | 体 547 | 法术防御 480,会心 242 | 专精 104,无,等级需求：70级 | 门派需求：无限制 | 外观：【不可拓印】,狂润照影，杀伐皆应。勘破战意本身，方知刚柔皆为道。,随身商店 | 副本宝箱 | 璇玑宝库
