物品,品质,等级,数量,一口价,图标,_notes
青鸟咳心烫,未知,0,1,0,消耗品\青鸟咳心烫.png,ZeroPrice
金灯红,未知,0,1,0,生产材料\金灯红.png,ZeroPrice
1级天赋书礼包,良品,0,21,200,礼包\1级天赋书礼包.png,
2级天赋书礼包,珍品,0,25,270,礼包\2级天赋书礼包.png,
3级天赋书礼包,灵品,0,39,5990,礼包\3级天赋书礼包.png,
一级鱼油·陈,良品,0,599,20,生产材料\一级鱼油陈.png,
一级鱼珍,凡品,0,10399,10,生产材料\一级鱼珍.png,
一级鱼籽,凡品,0,4019,8,生产材料\一级鱼籽.png,
一级鱼鲜·陈,凡品,0,246,8,生产材料\一级鱼鲜陈.png,
七星鲈,凡品,0,855,130,生产材料\七星鲈.png,
七星鲈·陈,凡品,0,105,10,生产材料\七星鲈陈.png,
万壑溟极丹,灵品,0,25,555,消耗品\万壑溟极丹.png,
万载大衍符,灵品,0,60,16990,消耗品\万载大衍符.png,
万载寒晶匣,灵品,0,162,18888,礼包\万载寒晶匣.png,
万载惊芒符,灵品,0,63,17769,消耗品\万载惊芒符.png,
万载摧岳符,灵品,0,65,13999,消耗品\万载摧岳符.png,
万载百川符,灵品,0,347,21800,消耗品\万载百川符.png,
万载神凰符,灵品,0,176,21798,消耗品\万载神凰符.png,
万载蚀骨符,灵品,0,26,18998,消耗品\万载蚀骨符.png,
万载运转符,灵品,0,61,18789,消耗品\万载运转符.png,
万载金身符,灵品,0,30,22199,消耗品\万载金身符.png,
三级鱼油·陈,灵品,0,1079,80,生产材料\三级鱼油陈.png,
三级鱼珍,珍品,0,3100,13,生产材料\三级鱼珍.png,
三级鱼籽,珍品,0,12034,30,生产材料\三级鱼籽.png,
三级鱼鲜·陈,珍品,0,3317,18,生产材料\三级鱼鲜陈.png,
业火红莲丁,珍品,0,355,500,消耗品\业火红莲丁.png,
丹霞煨云雉,灵品,0,123,485,消耗品\丹霞煨云雉.png,
乙木长生液,灵品,0,96,6657,消耗品\乙木长生液.png,
九曜星髓丹,灵品,0,37,1111,消耗品\九曜星髓丹.png,
九穗络·陈,良品,0,3721,34,生产材料\九穗络陈.png,
九穗花,良品,0,1835,233,生产材料\九穗花.png,
九穗花·精,珍品,0,271,7596,生产材料\九穗花精.png,
九穗革,珍品,0,207,12988,生产材料\九穗革.png,
九转烨鹿腩,灵品,0,46,998,消耗品\九转烨鹿腩.png,
九转粹鹿腩,灵品,0,46,998,消耗品\九转粹鹿腩.png,
乱武纷争·灵珠礼包,灵品,0,89,16888,礼包\乱武纷争灵珠礼包.png,
乱武纷争·灵珠礼包·陈,灵品,0,82,18485,礼包\乱武纷争灵珠礼包陈.png,
乾元珠礼盒,灵品,0,12,8800,礼包\乾元珠礼盒.png,
乾坤包,灵品,0,270,2399,消耗品\乾坤包.png,
二级鱼珍,良品,0,12450,22,生产材料\二级鱼珍.png,
二级鱼籽,良品,0,5634,23,生产材料\二级鱼籽.png,
二级鱼鲜·陈,良品,0,410,11,生产材料\二级鱼鲜陈.png,
云华顶汤笋,灵品,0,127,322,消耗品\云华顶汤笋.png,
云纹片,珍品,0,212,11899,消耗品\云纹片.png,
云纹鸽肉,珍品,0,268,699,生产材料\云纹鸽肉.png,
云雀丸,珍品,0,10,444,消耗品\云雀丸.png,
云霞锦囊,灵品,0,2,97777,物品\云霞锦囊.png,
五灵炙羽串,灵品,0,1,9999,消耗品\五灵炙羽串.png,
人屠镔铁,灵品,0,49,4000,法宝核心\人屠镔铁.png,
仙婴丹,灵品,0,59,2988,消耗品\仙婴丹.png,
仙灵魄,灵品,0,125,29797,消耗品\仙灵魄.png,
仙织云锦,灵品,0,1,199899,生产材料\仙织云锦.png,
仙辉灵珠袋,灵品,0,112,484900,礼包\仙辉灵珠袋.png,
低光荷汁·陈,良品,0,1321,30,生产材料\低光荷汁陈.png,
低光荷汁精·陈,珍品,0,139,1499,生产材料\低光荷汁精陈.png,
元始丹,灵品,0,6,599,消耗品\元始丹.png,
共鸣丸,灵品,0,73,19986,消耗品\共鸣丸.png,
冰华蕊,灵品,0,46,29976,法宝核心\冰华蕊.png,
冰灵珠·仙,灵品,0,8,4666000,灵珠\冰灵珠仙.png,
冰灵珠·灵,灵品,0,16,79988,灵珠\冰灵珠灵.png,
冰灵珠·珍,灵品,0,13,5390,灵珠\冰灵珠珍.png,
净业莲实,灵品,0,77,509,物品\净业莲实.png,
净业连买,灵品,0,1,509,物品\净业连买.png,
凤稣·陈,凡品,0,237,120,生产材料\凤稣陈.png,
凤血丹,珍品,0,274,9997,消耗品\凤血丹.png,
凤髓缠云荪,灵品,0,116,888,消耗品\凤髓缠云荪.png,
刃芒石,灵品,0,315,11899,消耗品\刃芒石.png,
利纯·陈,未知,0,1,2,生产材料\利纯陈.png,
刺,凡品,0,1071,155,生产材料\刺.png,
刺·陈,凡品,0,124,50,生产材料\刺陈.png,
刻石·专精,灵品,0,130,15490,物品\刻石专精.png,
刻石·专精（异）,灵品,0,6,88887,物品\刻石专精异.png,
刻石·会心,灵品,0,85,21111,物品\刻石会心.png,
刻石·会心（异）,灵品,0,2,50000,物品\刻石会心异.png,
刻石·命中,灵品,0,391,32000,物品\刻石命中.png,
刻石·破甲,灵品,0,244,11790,物品\刻石破甲.png,
刻石·破甲（异）,灵品,0,5,39000,物品\刻石破甲异.png,
刻石·调息,灵品,0,71,8888,物品\刻石调息.png,
刻石·调息（异),灵品,0,7,21000,物品\刻石调息异.png,
刻石·调息（异）,灵品,0,7,21000,物品\刻石调息异.png,
剔缕鸡,珍品,0,53,498,消耗品\剔缕鸡.png,
剪云研鱼片,良品,0,40,1000,消耗品\剪云研鱼片.png,
加吉鱼·陈,灵品,0,46,185,生产材料\加吉鱼陈.png,
千山行云礼包,灵品,0,4,4322000,礼包\千山行云礼包.png,
千心粉,珍品,0,441,2500,生产材料\千心粉.png,
半莲革,珍品,0,209,7880,生产材料\半莲革.png,
半边莲子·陈,良品,0,2129,14,生产材料\半边莲子陈.png,
半边莲子精·陈,珍品,0,923,660,生产材料\半边莲子精陈.png,
半边莲尖,良品,0,1559,337,生产材料\半边莲尖.png,
半边莲尖·精,珍品,0,162,6688,生产材料\半边莲尖精.png,
古猿精血,灵品,0,14,17499,法宝核心\古猿精血.png,
古脊玉台,灵品,0,55,34996,法宝核心\古脊玉台.png,
同寿丸,珍品,0,220,6547,消耗品\同寿丸.png,
后土重环,灵品,0,1,199899,生产材料\后土重环.png,
周天巽罡丹,灵品,0,80,600,消耗品\周天巽罡丹.png,
和光丸,灵品,0,69,888,消耗品\和光丸.png,
咒文石,珍品,0,105,2799,消耗品\咒文石.png,
四海扣肉,灵品,0,137,1394,消耗品\四海扣肉.png,
回气丸,珍品,0,164,16492,消耗品\回气丸.png,
土灵珠·仙,灵品,0,4,1440000,灵珠\土灵珠仙.png,
土灵珠·灵,灵品,0,35,16666,灵珠\土灵珠灵.png,
土灵珠·珍,灵品,0,28,2100,灵珠\土灵珠珍.png,
土系技能自选礼包,灵品,0,216,333,礼包\土系技能自选礼包.png,
土系技能随机礼包,珍品,0,147,20,礼包\土系技能随机礼包.png,
地藏丹,珍品,0,10,9999,消耗品\地藏丹.png,
塘鱼·陈,凡品,0,260,240,生产材料\塘鱼陈.png,
墟界遗蜕丹,灵品,0,159,2400,消耗品\墟界遗蜕丹.png,
大衍符,灵品,0,34,10000,消耗品\大衍符.png,
大还丹,良品,0,2,1111,消耗品\大还丹.png,
天启,仙品,0,1,1450000,消耗品\天启.png,
天曦·炽火凌霄发型礼包,仙品,0,6,19800000,礼包\天曦炽火凌霄发型礼包.png,
天机丸,灵品,0,86,18000,消耗品\天机丸.png,
天水,凡品,0,1231,600,生产材料\天水.png,
天河玉露,灵品,0,243,4000,消耗品\天河玉露.png,
天煸黄·陈,良品,0,721,40,生产材料\天煸黄陈.png,
天蚕冰绡·陈,灵品,0,5,1100,生产材料\天蚕冰绡陈.png,
天蚕冰绢·陈,灵品,0,1,1100,生产材料\天蚕冰绢陈.png,
天赋书[专注],良品,0,7,2733,宠物天赋\天赋书专注.png,
天赋书[专注·怒],灵品,0,22,22222,宠物天赋\天赋书专注怒.png,
天赋书[专注·极],珍品,0,10,9999,宠物天赋\天赋书专注极.png,
天赋书[会效],良品,0,3,489,宠物天赋\天赋书会效.png,
天赋书[会效·怒],灵品,0,20,9999,宠物天赋\天赋书会效怒.png,
天赋书[会效·极],珍品,0,14,3500,宠物天赋\天赋书会效极.png,
天赋书[健体],良品,0,4,750,宠物天赋\天赋书健体.png,
天赋书[健体·怒],灵品,0,16,17999,宠物天赋\天赋书健体怒.png,
天赋书[健体·极],珍品,0,2,2210,宠物天赋\天赋书健体极.png,
天赋书[削弱],良品,0,5,500,宠物天赋\天赋书削弱.png,
